,NEUT,Pred_NEUT
0,314.70599999999996,-0.5074971101949625
1,316.3824,-11.572743021809831
2,316.8396,-11.829111178815841
3,317.1444,-12.021365526937936
4,317.4492,-12.212160712749913
5,318.0588,-12.715866488124398
6,318.2112,-12.831745137145361
7,318.51599999999996,-13.166893815779865
8,318.6684,-13.389034598226486
9,318.8208,-12.32223264939866
10,318.9732,-13.508363792382918
11,319.1256,-12.53066306588645
12,319.278,-14.588783434799861
13,319.4304,-14.53674390370778
14,319.5828,-14.579335530573546
15,319.8876,-15.481456842708711
16,320.04,-15.868984094957627
17,320.1924,-15.916628804376154
18,320.3448,-16.190268074167065
19,320.4972,-16.16530911655724
20,320.6496,-16.21107293059071
21,320.9544,-16.709979571391248
22,321.1068,-15.961163928582707
23,321.2592,-15.234026844950762
24,321.4116,-13.290073694476408
25,321.564,-12.833063939211513
26,321.7164,-13.714608925383635
27,321.8688,-10.151460111211234
28,322.0212,-11.798808470164698
29,322.1736,-11.55343182336338
30,322.32599999999996,-13.448005521625602
31,322.4784,-12.77390115630094
32,322.6308,-12.372879222553435
33,322.7832,-10.269875303825302
34,322.9356,-8.924669438967701
35,323.2404,-7.165596758182039
36,323.3928,-6.4039736795192255
37,323.5452,-6.0082632457594745
38,323.6976,-5.582959182032259
39,323.85,-4.692631912811793
40,324.0024,-3.9966010122035587
41,324.1548,-3.7580183086492784
42,324.3072,-3.219913875435254
43,324.4596,-3.0055892090843637
44,324.612,-2.4241713746479143
45,324.9168,-2.1715207919444093
46,325.0692,-1.913486409801303
47,325.2216,-1.8358983715245456
48,325.374,-1.6506719895030382
49,325.5264,-1.5782415997215904
50,325.6788,-1.5051320346785664
51,325.8312,-1.4822294767129942
52,325.9836,-1.4255530531824996
53,326.2884,-1.5000137204357213
54,326.5932,-1.5321716899918423
55,326.7456,-1.5110525153197134
56,326.89799999999997,-1.571889627990109
57,327.0504,-1.992248351193596
58,327.2028,-1.6856480298360572
59,327.3552,-1.8714348200850979
60,327.5076,-2.2113380007691985
61,327.66,-2.3910245618587074
62,327.8124,-2.4722382186999097
63,327.9648,-2.6288980053846998
64,328.1172,-2.84768356193599
65,328.7268,-4.529569815103989
66,328.8792,-4.839588396600843
67,329.0316,-5.079004282964414
68,329.184,-5.879358843250911
69,329.6412,-0.507527488708712
70,329.7936,-0.5075414446451688
71,329.94599999999997,-0.5075613001913026
72,330.0984,-0.5075894824031487
73,330.2508,-0.5076280221333275
74,330.4032,-0.5076808758280005
75,330.5556,-0.5077549478924712
76,330.708,-0.5078642930070622
77,330.8604,-0.5080125746806895
78,331.0128,-0.5082134384716674
79,331.1652,-0.5084898195930093
80,331.3176,-0.5088733880499735
81,331.47,-0.5093785904291768
82,331.6224,-0.5100453423790592
83,331.7748,-0.5109244841787239
84,331.9272,-0.5121089711712323
85,332.0796,-0.5136792815430289
86,332.23199999999997,-0.5157251960141702
87,332.3844,-0.5179823302433987
88,332.5368,-0.5217410289358307
89,332.6892,-0.5259833558797293
90,332.8416,-0.5314521921812673
91,332.994,-0.5386303071162576
92,333.1464,-0.5474074670924421
93,333.2988,-0.5601423992699953
94,333.4512,-0.5746210876853701
95,333.6036,-0.5928590390222087
96,333.756,-0.6150851509994784
97,333.9084,-0.6381494155822387
98,334.0608,-0.6512039147834123
99,334.2132,-0.5795735228990939
100,334.3656,-0.510747969699699
101,334.51800000000003,-0.5081581147650274
102,334.6704,-0.5083409032329138
103,334.8228,-0.5085153014411079
104,334.9752,-0.5087194319993033
105,335.1276,-0.5089569360405667
106,335.28,-0.5092306994947648
107,335.4324,-0.5095455017025371
108,335.5848,-0.5097850547763241
109,335.7372,-0.5101726634702665
110,335.8896,-0.5107732624237934
111,336.042,-0.511103958043127
112,336.1944,-0.5118723180613238
113,336.3468,-0.5122718360182943
114,336.4992,-0.5132367972391635
115,336.6516,-0.5140312924701566
116,336.80400000000003,-0.5145490826462952
117,336.9564,-0.5154715958193152
118,337.2612,-0.5176105245555804
119,337.4136,-0.5193965314875022
120,337.566,-0.5202231581302749
121,337.7184,-0.5217540566944707
122,337.8708,-0.5234691800755709
123,338.0232,-0.5254085183236856
124,338.1756,-0.5276166177514199
125,338.32800000000003,-0.5301560370535383
126,338.4804,-0.533101366148215
127,338.6328,-0.5365519185603511
128,338.7852,-0.540619564115728
129,338.9376,-0.5454580659747541
130,339.2424,-0.5581827584548423
131,339.3948,-0.56654235113347
132,339.5472,-0.5766609491545065
133,339.6996,-0.588917289931867
134,339.852,-0.6037625067676988
135,340.0044,-0.6216305494136996
136,340.1568,-0.6431352204916158
137,340.3092,-0.6689314163899244
138,340.4616,-0.6997724516101349
139,340.61400000000003,-0.7362607360672626
140,340.7664,-0.7793044014992894
141,340.9188,-0.8298665520247971
142,341.0712,-0.8890154885523617
143,341.2236,-0.9579194079965461
144,341.376,-1.0376977516881534
145,341.6808,-1.2346143213904153
146,341.8332,-1.3542574614223515
147,341.9856,-1.4805110196131483
148,342.13800000000003,-3.4461663933789777
149,342.2904,-21.857290052102954
150,342.4428,-19.983503043728877
151,342.5952,-0.5074971101949625
152,342.7476,-0.5074971101273353
153,342.9,-0.507495841728905
154,343.0524,-0.5072255450029328
155,343.2048,-0.5049244902531379
156,343.3572,-0.5074565357512805
157,343.5096,-0.5074523185362142
158,343.662,-0.507308363734797
159,343.8144,-0.5074778574636675
160,343.9668,-0.5074903970543446
161,344.1192,-0.5074784248262649
162,344.2716,-0.5073977198271736
163,344.42400000000004,-0.5072093915499375
