,NEUT,Pred_NEUT
0,317.9064,-999.25
1,318.2112,-999.25
2,318.3636,-999.25
3,318.9732,-999.25
4,319.4304,-999.25
5,320.6496,-999.25
6,321.7164,-999.25
7,325.2216,-999.25
8,327.8124,-999.25
9,327.9648,-999.25
10,328.1172,-999.25
11,328.2696,-999.25
12,328.42199999999997,-999.25
13,328.5744,-999.25
14,328.7268,-999.25
15,328.8792,-999.25
16,329.0316,-999.25
17,329.184,-999.25
18,329.3364,-999.25
19,329.4888,-999.25
20,329.6412,-999.25
21,329.7936,-999.25
22,329.94599999999997,-999.25
23,330.0984,-999.25
24,330.2508,-999.25
25,330.4032,-999.25
26,330.5556,-999.25
27,330.708,-999.25
28,330.8604,-999.25
29,331.0128,-999.25
30,331.1652,-999.25
31,331.3176,-999.25
32,331.6224,-999.25
33,331.7748,-999.25
34,331.9272,-999.25
35,332.0796,-999.25
36,332.23199999999997,-999.25
37,332.3844,-999.25
38,332.5368,-999.25
39,332.6892,-999.25
40,332.8416,-999.25
41,332.994,-999.25
42,333.1464,-999.25
43,333.2988,-999.25
44,333.4512,-999.25
45,333.6036,-999.25
46,333.756,-999.25
47,333.9084,-999.25
48,334.0608,-999.25
49,334.2132,-999.25
50,334.3656,-999.25
51,334.51800000000003,-999.25
52,334.6704,-999.25
53,334.8228,-999.25
54,334.9752,-999.25
55,335.1276,-999.25
56,335.28,-999.25
57,335.4324,-999.25
58,335.5848,-999.25
59,335.7372,-999.25
60,335.8896,-999.25
61,336.042,-999.25
62,336.1944,-999.25
63,336.3468,-999.25
64,336.4992,-999.25
65,336.6516,-999.25
66,336.80400000000003,-999.25
67,336.9564,-999.25
68,337.1088,-999.25
69,337.2612,-999.25
70,337.566,-999.25
71,338.1756,-999.25
72,338.32800000000003,-999.25
73,338.4804,-999.25
74,338.7852,-999.25
75,339.09,-999.25
76,339.2424,-999.25
77,339.3948,-999.25
78,339.5472,-999.25
79,339.6996,-999.25
80,339.852,-999.25
81,340.0044,-999.25
82,340.1568,-999.25
83,340.3092,-999.25
84,340.4616,-999.25
85,340.61400000000003,-999.25
86,340.7664,-999.25
87,340.9188,-999.25
88,341.0712,-999.25
89,341.2236,-999.25
90,341.376,-999.25
91,341.5284,-999.25
92,341.6808,-999.25
93,341.8332,-999.25
94,341.9856,-999.25
95,342.13800000000003,-999.25
96,342.2904,-999.25
